chain_seed,iteration,logpost,beta_tenure,beta_monthly,alpha_month,alpha_one,alpha_two,mu_alpha,tau_alpha,z_alpha_month,step_beta,step_z_alpha,step_mu_alpha,step_tau_alpha,chain
11.0,0.0,-4051.5375336177585,-0.0036378778872976896,0.09198682839382212,-0.9329439032307388,-1.0048808820667328,-0.7550751119211192,-0.8924372482945694,0.7415197757128511,-0.0546265335907311,0.035,0.16,0.22,0.22,1
11.0,5.0,-3789.058240399961,-0.0385495432165407,0.15371118655725488,-0.832106155325455,-1.272286469145592,-0.8736969636581733,-0.8924372482945694,0.5342594839843358,0.1129247019054946,0.035,0.16,0.22,0.22,1
11.0,10.0,-3584.9351056569712,-0.06358822716696765,0.22004923503179835,-0.9109645303188344,-1.5573049683790672,-1.1845019208740366,-1.0242986218911725,0.7802506336409778,0.14525344381134753,0.035,0.16,0.22,0.22,1
11.0,15.0,-3238.8100960510124,-0.14599544200286074,0.19836854737118742,-0.6721462370598936,-1.8968840109710898,-2.111195375723427,-1.0259517567909504,0.9743360590955809,0.3631247313780769,0.035,0.16,0.22,0.22,1
11.0,20.0,-3195.3624335897584,-0.21930897234475674,0.2107285681822526,-0.6540636257217827,-2.114489041254597,-2.370042328324627,-1.0759552209494951,1.1618365778244084,0.3631247313780769,0.035,0.16,0.22,0.22,1
11.0,25.0,-3168.337229931216,-0.2730013160509961,0.13001142041232228,-0.7168512571305782,-2.4200372100828567,-2.8571385701670566,-1.000804017547164,1.4729192202581947,0.19278230368044924,0.035,0.16,0.22,0.22,1
11.0,30.0,-3112.8434805633683,-0.3653656294532938,0.23363688214498873,-0.891920429736386,-2.127311280851063,-3.015999918293246,-0.9145858003557206,1.4638329215348431,0.015483577589968184,0.035,0.16,0.22,0.22,1
11.0,35.0,-3086.6312065976786,-0.4074903123354645,0.38047357479566557,-0.8917441792792888,-2.1367416768441654,-3.032340934950662,-0.9145858003557206,1.4752159792340804,0.015483577589968184,0.035,0.16,0.22,0.22,1
11.0,40.0,-3084.7436435038285,-0.3987263634083311,0.3716400514775149,-0.8759537094895089,-2.1828117029319998,-3.1298894501067913,-0.9573382179040648,1.5049943024962342,0.05407629004280533,0.035,0.16,0.22,0.22,1
11.0,45.0,-3045.4126274488253,-0.4607861554437724,0.3747941846211229,-0.9138280828103633,-2.2206860762528544,-3.167763823427646,-0.9952125912249192,1.5049943024962342,0.05407629004280533,0.035,0.16,0.22,0.22,1
11.0,50.0,-3048.5044124917754,-0.4130998833541152,0.42345231381375364,-0.9103506153132419,-2.21041316870187,-3.1525662721207475,-0.9913119380786919,1.4971685872193374,0.05407629004280533,0.035,0.16,0.22,0.22,1
11.0,55.0,-3035.959086833217,-0.4633895093598697,0.41404131620338064,-0.9727589759644779,-2.2728215293531067,-3.214974632771984,-1.053720298729928,1.4971685872193374,0.05407629004280533,0.035,0.16,0.22,0.22,1
11.0,60.0,-3030.512212070674,-0.4904915270233604,0.434026271525349,-0.9958497284564884,-2.08254530266127,-3.1757842953227566,-1.035796941353494,1.3209715421779544,0.030240782349589865,0.035,0.16,0.22,0.22,1
11.0,65.0,-3023.1727501276273,-0.5703290979530703,0.44906912628067575,-1.1953530401551677,-2.213721656478847,-3.2382222679610217,-1.2327885362495365,1.2379142729049326,0.030240782349589865,0.035,0.16,0.22,0.22,1
11.0,70.0,-3023.526038138188,-0.5561210041830779,0.4903861793823397,-1.0408440076495005,-2.050004451657112,-3.060457345229846,-1.0811406420058705,1.2202136286419263,0.03302424543579251,0.035,0.16,0.22,0.22,1
11.0,75.0,-3022.291662734137,-0.5365799518736265,0.5275592505867568,-1.07920642553576,-2.1067206203345594,-3.1355507706705685,-1.1202359407626519,1.2424058350300078,0.03302424543579251,0.035,0.16,0.22,0.22,1
11.0,80.0,-3023.1598675020978,-0.5737254600300933,0.5509067761423204,-1.1580927354821808,-2.1990581984034048,-2.865545968740235,-1.247320267873331,1.0506604199819234,0.0849251867627082,0.035,0.16,0.22,0.22,1
11.0,85.0,-3018.0246566142923,-0.6744184107625664,0.506881934161439,-1.1705520066486792,-2.066162435872015,-2.6395853008231507,-1.247320267873331,0.903951632619334,0.0849251867627082,0.035,0.16,0.22,0.22,1
11.0,90.0,-3017.4942659392946,-0.6519868704991034,0.5009047032829533,-1.2178093284001033,-1.9196928306162753,-2.8215208142564263,-1.247320267873331,0.898612075754663,0.03284057745211608,0.035,0.16,0.22,0.22,1
11.0,95.0,-3012.70972462305,-0.7332904593043057,0.5032407823636225,-1.163794310023161,-2.085697626810876,-2.707174216222312,-1.1812935849107902,0.898612075754663,0.01947366985129069,0.035,0.16,0.22,0.22,1
11.0,100.0,-3012.9232642276957,-0.7332904593043057,0.5032407823636225,-1.2154271142247104,-1.9205814621985249,-2.9314759607895793,-1.2147982073286732,0.860964779875464,-0.0007304676227617504,0.035,0.16,0.22,0.22,1
11.0,105.0,-3011.8572521857955,-0.7446082166127085,0.5185933010701137,-1.270965206937541,-1.9460766503828242,-2.67196865877024,-1.3280037973372494,0.7630653516790735,0.07474928624946583,0.035,0.16,0.22,0.22,1
11.0,110.0,-3006.996607649133,-0.7412912151352984,0.5492443214956655,-1.2303547015332472,-1.8666094390689254,-2.718394181165782,-1.276562389219031,0.8674605909055412,0.053267765902250026,0.035,0.16,0.22,0.22,1
11.0,115.0,-3008.1171205242013,-0.7412912151352984,0.5492443214956655,-1.162630377129109,-1.8922786930376034,-2.4157330365048804,-1.3120038424653495,0.7843360600599149,0.19044574506089892,0.035,0.16,0.22,0.22,1
11.0,120.0,-3007.7778794399906,-0.7412912151352984,0.5492443214956655,-1.137679294736545,-1.989206789164783,-2.600098030632636,-1.3120038424653495,0.9153501837127447,0.19044574506089892,0.035,0.16,0.22,0.22,1
11.0,125.0,-3008.3991427125397,-0.7412912151352984,0.5492443214956655,-1.1391473359618276,-1.8398366930436307,-2.494113917856926,-1.3120038424653495,0.9153501837127447,0.18884194221975242,0.035,0.16,0.22,0.22,1
11.0,130.0,-3010.232383605123,-0.703473822376987,0.5599460062110025,-1.144774016174606,-2.016219468109852,-2.915702752184977,-1.4528617423252201,0.8352020951064655,0.3688780571262112,0.035,0.16,0.22,0.22,1
11.0,135.0,-3010.3734692125263,-0.6814960115430415,0.5737508894138094,-1.1040261409838101,-1.9082271775121389,-2.835033554525709,-1.4585557306818782,0.8352020951064655,0.42448359717401707,0.035,0.16,0.22,0.22,1
11.0,140.0,-3008.9858928017416,-0.7304810855073427,0.6115374251337742,-1.111579568811442,-1.8986467054768656,-2.805707015357018,-1.4585557306818782,0.8174077023951367,0.42448359717401707,0.035,0.16,0.22,0.22,1
11.0,145.0,-3006.9668996355717,-0.7216032757987764,0.5942372398541393,-1.1831087020650903,-1.784196069201111,-2.836037061056299,-1.4306185881336448,0.8174077023951367,0.30279857327415755,0.035,0.16,0.22,0.22,1
11.0,150.0,-3006.9198910018804,-0.7395372702335152,0.6272215261270238,-1.226468810534873,-1.9092714088659313,-2.6589818356937336,-1.4153969145975591,0.8809148524445005,0.21446806526013115,0.035,0.16,0.22,0.22,1
11.0,155.0,-3008.242460321714,-0.722852813779913,0.7062353639596108,-1.158579526027442,-1.9398495511534484,-2.588916845482375,-1.3730589753694205,0.9014139576846273,0.23793668548564584,0.035,0.16,0.22,0.22,1
11.0,160.0,-3006.1056257744035,-0.7408538767892701,0.6552110238511386,-1.1429155930447183,-1.9812435850413501,-2.6777137733577345,-1.3730589753694205,0.9672463153589073,0.23793668548564584,0.035,0.16,0.22,0.22,1
11.0,165.0,-3006.00581309316,-0.7909442290518423,0.6359606055674824,-1.2456904488720002,-1.9014165918326786,-2.6460137168386795,-1.3951494942580445,0.990381277872797,0.1509106126350266,0.035,0.16,0.22,0.22,1
11.0,170.0,-3003.414922700909,-0.7968109792693785,0.5925381858670735,-1.2729458357626413,-1.9269154061068923,-2.6695178890903097,-1.4220045071980343,0.9877282242295813,0.1509106126350266,0.035,0.16,0.22,0.22,1
11.0,175.0,-3009.4675124837586,-0.8080046287693774,0.5832196485937254,-1.2900507175225955,-1.8689755281918294,-2.526362387395954,-1.4220045071980343,0.8743837651402672,0.1509106126350266,0.035,0.16,0.22,0.22,1
11.0,180.0,-3011.243340620682,-0.7283585186545493,0.5881967783218716,-1.227081362714436,-1.992581416938218,-3.0200131742730574,-1.4220045071980343,1.2427665603015299,0.15684614529401616,0.035,0.16,0.22,0.22,1
11.0,185.0,-3009.1911061789974,-0.757265529081779,0.5913057469366653,-1.2533274747587144,-1.8740875139981477,-2.7072534615116757,-1.4113947383084302,1.0077854527658971,0.15684614529401616,0.035,0.16,0.22,0.22,1
11.0,190.0,-3009.2532301613123,-0.757265529081779,0.5913057469366653,-1.1935473028615,-1.9125508380255036,-2.877576328993736,-1.3766308038954795,1.1672808451287087,0.15684614529401616,0.035,0.16,0.22,0.22,1
11.0,195.0,-3007.7505835332004,-0.7391711299795177,0.659582767006247,-1.2070816088262348,-2.0000714765948784,-3.0643992567103346,-1.4090046233527762,1.2873954546222752,0.15684614529401616,0.035,0.16,0.22,0.22,1
11.0,200.0,-3002.304301715454,-0.7359382702616705,0.5343206518333234,-1.251813039689705,-1.9679702167048365,-2.929175409112979,-1.4341717581744953,1.1626598673684303,0.15684614529401616,0.035,0.16,0.22,0.22,1
11.0,205.0,-3001.4829392485553,-0.7404797225585875,0.5571001232930531,-1.2548263818384182,-1.959149594321806,-2.9044715860587003,-1.4341717581744953,1.1434477780750358,0.15684614529401616,0.035,0.16,0.22,0.22,1
11.0,210.0,-3003.2751235369815,-0.8431216752046468,0.47130540835351353,-1.3606518609311744,-1.7895502796728753,-2.3652051782642975,-1.469864431177101,0.6963038207996893,0.15684614529401616,0.035,0.16,0.22,0.22,1
11.0,215.0,-3004.6469483402684,-0.811810875315089,0.4818310229049909,-1.1535608869557432,-1.7318579702619852,-2.3211475734287244,-1.4572975836201403,0.8381724194986437,0.3623797319006015,0.035,0.16,0.22,0.22,1
11.0,220.0,-3003.098307537894,-0.811810875315089,0.4818310229049909,-1.1464805062477206,-1.8786120695150417,-2.572966547866073,-1.5835998276673042,0.8381724194986437,0.5215147996411624,0.035,0.16,0.22,0.22,1
11.0,225.0,-3001.3561413872394,-0.7991822604772987,0.46705495923437623,-1.252830256919964,-1.8443290490131556,-2.729109711910862,-1.5835998276673042,0.8553944681340531,0.386686590888151,0.035,0.16,0.22,0.22,1
11.0,230.0,-2999.8921221074165,-0.8039609378549379,0.3978357282114186,-1.3064143771891126,-1.9329338340984048,-2.870099400304969,-1.6567677077401126,0.9060395131527583,0.386686590888151,0.035,0.16,0.22,0.22,1
11.0,235.0,-3000.378270846525,-0.8039609378549379,0.3978357282114186,-1.3514860130040485,-1.8974061025593132,-2.714008849991098,-1.6567677077401126,0.7894809438177979,0.386686590888151,0.035,0.16,0.22,0.22,1
11.0,240.0,-3000.884994573683,-0.7964164811534691,0.38266766069491565,-1.350816956951116,-1.897933486209882,-2.7163259020706336,-1.6567677077401126,0.7912111720405968,0.386686590888151,0.035,0.16,0.22,0.22,1
11.0,245.0,-3001.310730797373,-0.7830909919957797,0.40975449343414005,-1.321330940702034,-2.1397339198442644,-2.7564396272811607,-1.6689666374456993,0.7958141152426499,0.43683027240308314,0.035,0.16,0.22,0.22,1
11.0,250.0,-3000.632855374302,-0.7830909919957797,0.40975449343414005,-1.2833257278993107,-2.000742506821902,-2.510713784470253,-1.6689666374456993,0.7849460526289866,0.4912960683791936,0.03639196692775552,0.1440519236138025,0.20533186961720443,0.23360404023997913,1
11.0,255.0,-3001.1481052426807,-0.7762246004206995,0.33880457571744477,-1.2675495558600745,-2.000354917562507,-2.5850384596667393,-1.6689666374456993,0.7849460526289866,0.5113944840427893,0.03639196692775552,0.1440519236138025,0.20533186961720443,0.23360404023997913,1
11.0,260.0,-3000.210749452898,-0.7942151128462656,0.3470563838393702,-1.3114544217278437,-1.9641094296246062,-2.4848433949201527,-1.6689666374456993,0.699092827305392,0.5113944840427893,0.03639196692775552,0.1440519236138025,0.20533186961720443,0.23360404023997913,1
11.0,265.0,-2997.1784353228345,-0.786289924426985,0.3452504263840383,-1.3065566088667961,-2.155878965212733,-2.5334343178158463,-1.6689666374456993,0.6361839126647412,0.5696623592082051,0.03639196692775552,0.1440519236138025,0.20533186961720443,0.23360404023997913,1
11.0,270.0,-2996.496760379168,-0.786289924426985,0.3452504263840383,-1.306741392421803,-2.154742381389237,-2.674029911362987,-1.6596108869203445,0.662050880421671,0.5329945249431483,0.03639196692775552,0.1440519236138025,0.20533186961720443,0.23360404023997913,1
11.0,275.0,-2996.29485425123,-0.7967569620566298,0.3669865941542999,-1.272392338195128,-2.063247112220285,-2.558991367700362,-1.6147085493911444,0.662050880421671,0.5170542345295115,0.03639196692775552,0.1440519236138025,0.20533186961720443,0.23360404023997913,1
11.0,280.0,-2998.4045932481454,-0.7718564422333499,0.3428781938289861,-1.30249108103265,-2.1325776853151748,-2.5548984309158893,-1.6221938315463589,0.6212578567820723,0.5146055651829861,0.03639196692775552,0.1440519236138025,0.20533186961720443,0.23360404023997913,1
11.0,285.0,-2995.897104627746,-0.735503465034673,0.3630692259848124,-1.2907529018118222,-2.0702688908797455,-2.6300533811615936,-1.6221938315463589,0.663055595128784,0.499868988618008,0.03639196692775552,0.1440519236138025,0.20533186961720443,0.23360404023997913,1
11.0,290.0,-2996.273353131283,-0.735503465034673,0.3630692259848124,-1.2473758114054607,-2.063362811032786,-2.6493377917502055,-1.5943237811721331,0.6940778037178951,0.499868988618008,0.03639196692775552,0.1440519236138025,0.20533186961720443,0.23360404023997913,1
